t[c]	Об/мин	[V2-V1]	Кр.м.	P	Л.С.
36	1667	0	0	0	0

|
15	4000	4000	17333,3333333333	7280000	9898,04537397243
52107	1	-3999	-4,98848523231044	-0,523790949392596	-0,000712157497742309
4480	13	12	0,174107142857143	0,23765625	0,000323122574987381
28	2143	2130	4944,64285714286	1112618,8125	1512,740589294
22	2727	584	1725,45454545455	494058,027272727	671,731974082522
19	3158	431	1474,47368421053	488920,728947368	664,747192224825
1317	46	-3112	-153,591495823842	-741,846924829157	-1,00863111572815
14	4286	4240	19685,7142857143	8859162	12045,1081663973
214	280	-4006	-1216,77570093458	-35773,2056074766	-48,6380236641825
15	4000	3720	16120	6770400	9205,18219779435
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
16	3750	-250	-1015,625	-399902,34375	-543,715871372997
20	3000	-750	-2437,5	-767812,5	-1043,93447303615
23	2609	-391	-1105	-302709,225	-411,570006067311
21	2857	248	767,619047619048	230274,2	313,085780227363
20	3000	143	464,75	146396,25	199,043506192227
19	3158	158	540,526315789474	179233,121052632	243,689225920005
18	3333	175	631,944444444444	221158,4375	300,691792474154
17	3529	196	749,411764705882	277690,782352941	377,554390613092
16	3750	221	897,8125	353513,671875	480,644830293729
16	3750	0	0	0	0
15	4000	250	1083,33333333333	455000	618,627835873277
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
16	3750	-250	-1015,625	-399902,34375	-543,715871372997
16	3750	0	0	0	0

|
25	2400	-1350	-3510	-884520	-1202,61251293765
17590	3	-2397	-8,85758953951109	-2,79014070494599	-0,00379353561776413
207	290	287	90,1207729468599	2744,17753623188	3,73104309998064
36	1667	1377	2486,25	435180,76875	591,681180627431
27	2222	555	1336,11111111111	311728,083333333	423,832240820713
33	1818	-404	-795,757575757576	-151902,163636364	-206,529465395235
33	1818	0	0	0	0
24	2500	682	1847,08333333333	484859,375	659,22528760246
22	2727	227	670,681818181818	192039,678409091	261,10129814509
2347	26	-2701	-74,8040051129101	-204,214933958245	-0,277655038785919
25	2400	2374	6172,4	1555444,8	2114,81637460295
24	2500	100	270,833333333333	71093,75	96,6605993551994
831	72	-2428	-189,915764139591	-1435,76317689531	-1,95209465263579
27	2222	2150	5175,92592592593	1207595,27777778	1641,87264462078
31	1935	-287	-601,774193548387	-122265,471774194	-166,234778474054
34	1765	-170	-325	-60230,625	-81,890859773725
32	1875	110	223,4375	43989,2578125	59,8087458510297
30	2000	125	270,833333333333	56875	77,3284794841596
30	2000	0	0	0	0
26	2308	308	770	186601,8	253,70784110782
26	2308	0	0	0	0
28	2143	-165	-383,035714285714	-86188,78125	-117,184130156577
28	2143	0	0	0	0
28	2143	0	0	0	0
29	2069	-74	-165,862068965517	-36032,7051724138	-48,990844882352
27	2222	153	368,333333333333	85935,85	116,840239361386
24	2500	278	752,916666666667	197640,625	268,716466207454
22	2727	227	670,681818181818	192039,678409091	261,10129814509
21	2857	130	402,380952380952	120708,25	164,117546086924
21	2857	0	0	0	0
23	2609	-248	-700,869565217391	-191999,713043478	-261,046960370059
21	2857	248	767,619047619048	230274,2	313,085780227363
19	3158	301	1029,73684210526	341450,439473684	464,243398746339
18	3333	175	631,944444444444	221158,4375	300,691792474154
17	3529	196	749,411764705882	277690,782352941	377,554390613092
16	3750	221	897,8125	353513,671875	480,644830293729
15	4000	250	1083,33333333333	455000	618,627835873277
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
14	4286	286	1327,85714285714	597575,55	812,47663575227
14	4286	0	0	0	0
14	4286	0	0	0	0
14	4286	0	0	0	0
14	4286	0	0	0	0
14	4286	0	0	0	0
14	4286	0	0	0	0
14	4286	0	0	0	0
14	4286	0	0	0	0
16	3750	-536	-2177,5	-857390,625	-1165,72682822371
18	3333	-417	-1505,83333333333	-526988,9625	-716,505585495557
19	3158	-175	-598,684210526316	-198517,697368421	-269,9089527595
20	3000	-158	-513,5	-161752,5	-219,92219565295
20	3000	0	0	0	0
21	2857	-143	-442,619047619048	-132779,075	-180,529300695616
21	2857	0	0	0	0
22	2727	-130	-384,090909090909	-109978,670454545	-149,529377792342
25	2400	-327	-850,2	-214250,4	-291,299475356008
26	2308	-92	-230	-55738,2	-75,7828616296085
29	2069	-239	-535,689655172414	-116375,899137931	-158,22718820111
28	2143	74	171,785714285714	38654,3625	52,5553068581014
28	2143	0	0	0	0
